area,pre,shock,post,class
CZ.51,5.112781954887217,17.293233082706767,37.59398496240601,Relative persistent improvement
CZ.52,33.349101229895936,20.104068117313147,57.94701986754966,"Temporary decline, rebounded"
CZ.53,-17.95918367346939,-38.775510204081634,-37.755102040816325,Relative persistent decline
CZ.63,17.462165308498253,17.462165308498253,98.9522700814901,Relative persistent improvement
CZ.64,-0.08529875890305796,-2.61227449140615,-5.2245489828123,Relative persistent decline
CZ.71,1.0517799352750814,6.472491909385113,-2.8317152103559873,Improvement then reversal
CZ.72,18.74125874125874,-1.3986013986013983,6.993006993006993,Relative persistent decline
CZ.80,4.01491253226269,-12.546601663320907,2.8677946659019216,Relative persistent decline
DE.BB,5.529086524322099,10.440562319863538,5.88200694076819,Relative persistent improvement
DE.BE,-0.9668990080105748,8.077890446670624,2.84562049825897,Relative persistent improvement
DE.BW,-5.333605109389863,-3.474409813586332,-11.55048240250034,Improvement then reversal
DE.BY,-3.825753709697068,1.2840309352683787,-0.9218683637824259,Relative persistent improvement
DE.HB,-11.915060951631931,-7.766417616987809,2.949272512780181,Relative persistent improvement
DE.HE,-1.3965115142374347,-1.0124708478221405,-1.1521219992458838,Relative persistent improvement
DE.HH,12.161506701841972,3.6969560742467085,12.185167220717151,"Temporary decline, rebounded"
DE.MV,3.4193529532103932,-7.9638776046994195,1.7535143349796887,Relative persistent decline
DE.NI,-4.990499736739692,-7.1156590283023915,-9.080572915474365,Relative persistent decline
